rows=50
cols=50
(0, 0, 1)
(0, 2, 6)
(0, 5, 18)
(0, 8, 36)
(0, 12, 65)
(0, 15, 96)
(0, 18, 133)
(0, 22, 184)
(0, 25, 234)
(0, 30, 1)
(0, 32, 6)
(0, 35, 18)
(0, 38, 36)
(1, 0, 1)
(1, 1, 2)
(1, 3, 16)
(1, 6, 21)
(1, 9, 40)
(1, 13, 70)
(1, 16, 102)
(1, 19, 140)
(1, 23, 192)
(1, 26, 243)
(1, 31, 2)
(1, 33, 16)
(1, 36, 21)
(1, 39, 40)
(2, 2, 3)
(2, 4, 20)
(2, 7, 24)
(2, 10, 44)
(2, 14, 75)
(2, 17, 108)
(2, 20, 147)
(2, 24, 200)
(2, 27, 252)
(2, 32, 3)
(2, 34, 20)
(2, 37, 24)
(3, 3, 4)
(3, 5, 12)
(3, 8, 27)
(3, 11, 48)
(3, 15, 80)
(3, 18, 114)
(3, 21, 154)
(3, 25, 208)
(3, 28, 261)
(3, 33, 4)
(3, 35, 12)
(3, 38, 27)
(4, 4, 5)
(4, 6, 14)
(4, 9, 30)
(4, 12, 52)
(4, 16, 85)
(4, 19, 120)
(4, 22, 161)
(4, 26, 216)
(4, 29, 270)
(4, 34, 5)
(4, 36, 14)
(4, 39, 30)
